player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Alain Miéville (C),Lausanne HC,48,3,7,10,0.21,38,-10,https://www.eliteprospects.com/player/34315/alain-mieville,2017-2018,nl,Alain Miéville (C),C
Marco Maurer (D),EHC Biel-Bienne,40,2,8,10,0.25,30,10,https://www.eliteprospects.com/player/15151/marco-maurer,2017-2018,nl,Marco Maurer (D),D
Ronalds Kenins (LW/RW),ZSC Lions,40,1,9,10,0.25,57,-13,https://www.eliteprospects.com/player/22458/ronalds-kenins,2017-2018,nl,Ronalds Kenins (LW/RW),LW/RW
Noah Rod (LW/RW),Genève-Servette HC,25,7,2,9,0.36,38,-1,https://www.eliteprospects.com/player/97120/noah-rod,2017-2018,nl,Noah Rod (LW/RW),LW/RW
Jan Neuenschwander (C),EHC Biel-Bienne,34,6,3,9,0.26,10,7,https://www.eliteprospects.com/player/67045/jan-neuenschwander,2017-2018,nl,Jan Neuenschwander (C),C
Dominik Schlumpf (D),EV Zug,42,5,4,9,0.21,24,3,https://www.eliteprospects.com/player/17686/dominik-schlumpf,2017-2018,nl,Dominik Schlumpf (D),D
Mika Pyörälä (LW),SC Bern,32,4,5,9,0.28,16,2,https://www.eliteprospects.com/player/7526/mika-pyorala,2017-2018,nl,Mika Pyörälä (LW),LW
Robin Leone (RW),EHC Kloten,48,4,5,9,0.19,8,-16,https://www.eliteprospects.com/player/85339/robin-leone,2017-2018,nl,Robin Leone (RW),RW
Dominik Diem (C/LW),EHC Biel-Bienne,32,2,7,9,0.28,4,12,https://www.eliteprospects.com/player/149625/dominik-diem,2017-2018,nl,Dominik Diem (C/LW),C/LW
Alain Berger (RW),SC Bern,39,2,7,9,0.23,8,3,https://www.eliteprospects.com/player/15162/alain-berger,2017-2018,nl,Alain Berger (RW),RW
Eliot Berthon (C/W),HC Ambrì-Piotta,46,2,7,9,0.20,30,-5,https://www.eliteprospects.com/player/34602/eliot-berthon,2017-2018,nl,Eliot Berthon (C/W),C/W
Matteo Romanenghi (C/LW),HC Lugano,49,2,7,9,0.18,16,12,https://www.eliteprospects.com/player/94549/matteo-romanenghi,2017-2018,nl,Matteo Romanenghi (C/LW),C/LW
Benjamin Chavaillaz (D),HC Fribourg-Gottéron,49,2,7,9,0.18,24,5,https://www.eliteprospects.com/player/28405/benjamin-chavaillaz,2017-2018,nl,Benjamin Chavaillaz (D),D
Kay Schweri (LW/RW),Genève-Servette HC,33,1,8,9,0.27,6,-2,https://www.eliteprospects.com/player/135772/kay-schweri,2017-2018,nl,Kay Schweri (LW/RW),LW/RW
Dino Wieser (LW),HC Davos,42,1,8,9,0.21,48,-15,https://www.eliteprospects.com/player/15158/dino-wieser,2017-2018,nl,Dino Wieser (LW),LW
Tino Kessler (C/RW),HC Davos,27,5,3,8,0.30,2,-3,https://www.eliteprospects.com/player/149522/tino-kessler,2017-2018,nl,Tino Kessler (C/RW),C/RW
Benjamin Antonietti (RW/LW),Lausanne HC,15,3,5,8,0.53,8,-2,https://www.eliteprospects.com/player/28408/benjamin-antonietti,2017-2018,nl,Benjamin Antonietti (RW/LW),RW/LW
Mattias Sjögren (C),ZSC Lions,19,3,5,8,0.42,16,6,https://www.eliteprospects.com/player/4040/mattias-sjogren,2017-2018,nl,Mattias Sjögren (C),C
Arnaud Jacquemet (D/RW),Genève-Servette HC,39,3,5,8,0.21,8,3,https://www.eliteprospects.com/player/11679/arnaud-jacquemet,2017-2018,nl,Arnaud Jacquemet (D/RW),D/RW
Miro Zryd (D),SCL Tigers,47,3,5,8,0.17,8,5,https://www.eliteprospects.com/player/134062/miro-zryd,2017-2018,nl,Miro Zryd (D),D
Sébastien Reuille (LW/RW),HC Lugano,48,3,5,8,0.17,2,9,https://www.eliteprospects.com/player/18930/sebastien-reuille,2017-2018,nl,Sébastien Reuille (LW/RW),LW/RW
Lauri Korpikoski (LW/RW),ZSC Lions,19,2,6,8,0.42,6,-2,https://www.eliteprospects.com/player/4219/lauri-korpikoski,2017-2018,nl,Lauri Korpikoski (LW/RW),LW/RW
Tristan Vauclair (LW),HC Fribourg-Gottéron,36,2,6,8,0.22,16,1,https://www.eliteprospects.com/player/18521/tristan-vauclair,2017-2018,nl,Tristan Vauclair (LW),LW
Andrea Glauser (D),HC Fribourg-Gottéron,37,2,6,8,0.22,10,5,https://www.eliteprospects.com/player/126282/andrea-glauser,2017-2018,nl,Andrea Glauser (D),D
Samuel Erni (D),SCL Tigers,46,1,7,8,0.17,16,-8,https://www.eliteprospects.com/player/34814/samuel-erni,2017-2018,nl,Samuel Erni (D),D
Santeri Alatalo (D),EV Zug,31,0,8,8,0.26,22,3,https://www.eliteprospects.com/player/24582/santeri-alatalo,2017-2018,nl,Santeri Alatalo (D),D
André Heim (C),SC Bern,34,3,4,7,0.21,0,6,https://www.eliteprospects.com/player/174541/andre-heim,2017-2018,nl,André Heim (C),C
Sven Senteler (C/LW),EV Zug,44,3,4,7,0.16,8,0,https://www.eliteprospects.com/player/89731/sven-senteler,2017-2018,nl,Sven Senteler (C/LW),C/LW
Nathan Gerbe (C/LW),Genève-Servette HC,19,2,5,7,0.37,85,-11,https://www.eliteprospects.com/player/9216/nathan-gerbe,2017-2018,nl,Nathan Gerbe (C/LW),C/LW
René Back (D),EHC Kloten,27,2,5,7,0.26,14,-12,https://www.eliteprospects.com/player/18894/rene-back,2017-2018,nl,René Back (D),D
Sven Jung (D),HC Davos,43,2,5,7,0.16,20,-12,https://www.eliteprospects.com/player/93800/sven-jung,2017-2018,nl,Sven Jung (D),D
Larri Leeger (D),totals,43,2,5,7,0.16,28,9,https://www.eliteprospects.com/player/18465/larri-leeger,2017-2018,nl,Larri Leeger (D),D
Alessandro Chiesa (D),HC Lugano,49,2,5,7,0.14,70,12,https://www.eliteprospects.com/player/20678/alessandro-chiesa,2017-2018,nl,Alessandro Chiesa (D),D
Franco Collenberg (D),HC Ambrì-Piotta,44,1,6,7,0.16,16,-10,https://www.eliteprospects.com/player/17226/franco-collenberg,2017-2018,nl,Franco Collenberg (D),D
Mathias Seger (D),ZSC Lions,29,0,7,7,0.24,22,2,https://www.eliteprospects.com/player/17995/mathias-seger,2017-2018,nl,Mathias Seger (D),D
Valentin Nussbaumer (C/LW),EHC Biel-Bienne,26,5,1,6,0.23,2,-1,https://www.eliteprospects.com/player/332479/valentin-nussbaumer,2017-2018,nl,Valentin Nussbaumer (C/LW),C/LW
Luca Hischier (C/RW),SC Bern,31,4,2,6,0.19,8,-1,https://www.eliteprospects.com/player/93279/luca-hischier,2017-2018,nl,Luca Hischier (C/RW),C/RW
