player,position,link,total_gp,total_g,total_a,total_tp,total_ppg,total_pim,total_pm,nhle_g,nhle_a,nhle_tp,nhle_ppg,legacy_veteran,new_veteran,non_vet_ufa,league,call_up_send_down,active
Aapeli Räsänen,C,/player/118081/aapeli-rasanen,1,0,1,1,1.0,2,0,0.0,0.4,0.4,0.4,False,False,False,liiga,—,True
Miro Keskitalo,D,/player/118326/miro-keskitalo,2,0,0,0,0.0,2,1,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Henrik Borgström,C/W,/player/118332/henrik-borgstrom,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Roberts Bukarts,LW/RW,/player/11842/roberts-bukarts,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Jordan Gross,D,/player/118435/jordan-gross,2,0,0,0,0.0,0,-1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Milan Kytnár,C,/player/11850/milan-kytnar,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Tyler Moy,C/RW,/player/118545/tyler-moy,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Marek Daloga,D,/player/11855/marek-daloga,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Dmitri Kagarlitsky,LW,/player/11862/dmitri-kagarlitsky,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Dmitri Kugryshev,LW/RW,/player/11865/dmitri-kugryshev,1,0,0,0,0.0,2,-1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Vinni Lettieri,C/RW,/player/118656/vinni-lettieri,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Cole Cassels,C,/player/118659/cole-cassels,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Dmitri Kulikov,D,/player/11866/dmitri-kulikov,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Corey Schueneman,D,/player/118661/corey-schueneman,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Karson Kuhlman,C/W,/player/118663/karson-kuhlman,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Sean Malone,C,/player/118664/sean-malone,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
